Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	

MNI_MNI.img - 0	post_DPWM_R	5860	178.6440	213.7298	196.9555	4.6807	
MNI_MNI.img - 0	GCC_L	3314	139.9600	217.9996	192.8167	9.8589	
MNI_MNI.img - 0	GCC_R	3671	142.7243	219.6951	193.0473	9.7954	
MNI_MNI.img - 0	BCC_L	4015	128.6830	218.1261	189.7034	12.8345	
MNI_MNI.img - 0	BCC_R	4374	118.1458	222.3676	188.4756	15.3228	
MNI_MNI.img - 0	SCC_L	6971	123.5462	229.6718	193.6308	10.7998	
MNI_MNI.img - 0	SCC_R	7053	124.5203	234.0877	193.9984	11.7357	
MNI_MNI.img - 0	PVA_posterior_L	977	81.2975	196.8262	151.4153	23.1123	
MNI_MNI.img - 0	PVA_posterior_R	1059	83.4528	196.2730	147.5533	24.3095	
MNI_MNI.img - 0	ALIC_L	2117	156.0579	226.1440	193.2589	11.2124	
MNI_MNI.img - 0	ALIC_R	2302	164.6608	224.8264	196.1941	10.8290	
MNI_MNI.img - 0	PLIC_L	3621	168.9093	230.8983	198.0382	9.3505	
MNI_MNI.img - 0	PLIC_R	3537	170.9147	224.7638	198.7883	7.7962	
MNI_MNI.img - 0	inf_DPWM_L	21229	133.6304	225.6047	190.9430	14.6445	
MNI_MNI.img - 0	inf_DPWM_R	19228	137.6013	227.1528	192.2903	13.1453	
MNI_MNI.img - 0	CGC_L	4024	138.7381	215.9914	184.5241	14.2849	
MNI_MNI.img - 0	CGC_R	3992	141.2569	213.1890	184.3316	13.8213	
MNI_MNI.img - 0	CGH_L	1439	142.3010	214.8233	183.1808	13.9498	
MNI_MNI.img - 0	CGH_R	1531	136.1660	217.1664	184.0417	15.1888	
MNI_MNI.img - 0	Fx/ST_L	1390	121.1576	219.6637	182.2075	17.2408	
MNI_MNI.img - 0	Fx/ST_R	1482	86.3773	224.1716	180.2586	20.2356	
MNI_MNI.img - 0	Fx_L	947	28.1317	231.1373	140.6148	32.1848	
MNI_MNI.img - 0	Fx_R	948	59.9364	197.0468	135.8059	24.8858	
MNI_MNI.img - 0	PeripheralParietalWM_L	35807	140.7207	217.0479	187.1023	12.8081	
MNI_MNI.img - 0	PeripheralParietalWM_R	36533	130.4250	223.2191	187.9945	13.4098	
MNI_MNI.img - 0	AnteriorLateralVentricle_L	16222	9.0122	161.0750	50.3295	31.8445	
MNI_MNI.img - 0	PosteriorLateralVentricle_L	2215	12.1278	175.9578	55.2433	36.2964	
MNI_MNI.img - 0	InferiorLateralVentricle_L	1560	23.7166	171.1085	89.0437	28.3637	
MNI_MNI.img - 0	AnteriorLateralVentricle_R	3612	10.0867	151.0468	50.1099	32.9866	
MNI_MNI.img - 0	PosteriorLateralVentricle_R	2728	8.4001	173.3707	53.0483	38.6835	
MNI_MNI.img - 0	InferiorLateralVentricle_R	1461	23.8301	165.3247	87.2768	28.7953	
MNI_MNI.img - 0	IIIandIV_Ventricle	6696	12.2143	164.6838	74.3209	36.2101	
MNI_MNI.img - 0	PVA_anterior_L	1243	83.1720	225.3377	157.9977	23.7554	
MNI_MNI.img - 0	PVA_anterior_R	1090	82.9922	216.8456	156.7077	25.0714	
MNI_MNI.img - 0	PeripheralFrontalWM_L	50784	134.1754	218.1323	183.3584	14.1886	
MNI_MNI.img - 0	PeripheralFrontalWM_R	55207	109.2389	224.6745	185.4326	13.3088	
MNI_MNI.img - 0	PeripheralTemporalWM_L	27614	123.9302	215.4616	179.2724	15.8499	
MNI_MNI.img - 0	PeripheralTemporalWM_R	30376	130.1474	219.5043	180.7472	15.8388	
MNI_MNI.img - 0	PeripheralOccipitalWM_L	24762	127.6656	213.2539	180.6788	15.2693	
MNI_MNI.img - 0	PeripheralOccipitalWM_R	25422	124.0192	214.4435	180.3218	16.0572	
MNI_MNI.img - 0	PeripheralCingulateWM_L	5601	123.5961	206.6088	174.1959	15.4621	
MNI_MNI.img - 0	PeripheralCingulateWM_R	4980	126.7127	208.4356	172.4634	16.3538	
MNI_MNI.img - 0	CerebellumWM_R	13120	143.8644	231.8558	189.3684	14.0632	
MNI_MNI.img - 0	CerebellumWM_L	12860	133.8237	230.6805	188.6469	14.4310	
MNI_MNI.img - 0	FrontSul_L	21809	12.7065	105.2997	56.8349	17.0974	
MNI_MNI.img - 0	FrontSul_R	17795	14.0910	104.2563	59.1496	17.0891	
MNI_MNI.img - 0	CentralSul_L	3357	13.9485	105.5174	54.1686	18.0616	
MNI_MNI.img - 0	CentralSul_R	3420	14.9753	108.1733	50.2273	19.0069	
MNI_MNI.img - 0	SylFrontSul_L	4579	13.6612	107.0234	58.9571	17.3737	
MNI_MNI.img - 0	SylFrontSul_R	5060	12.0706	110.9413	61.2332	19.8824	
MNI_MNI.img - 0	SylTempSul_L	5621	13.6859	112.2530	58.2612	17.8658	
MNI_MNI.img - 0	SylTempSul_R	5327	11.8986	101.3654	58.2474	18.3618	
MNI_MNI.img - 0	SylParieSul_L	525	24.8081	93.0491	64.0948	13.8156	
MNI_MNI.img - 0	SylParieSul_R	550	17.8540	96.4001	55.0867	18.2080	
MNI_MNI.img - 0	ParietSul_L	12095	14.0640	105.8605	55.7217	17.4663	
MNI_MNI.img - 0	ParietSul_R	11654	14.0394	107.9528	53.3095	18.5276	
MNI_MNI.img - 0	CinguSul_L	6093	14.7503	98.7034	57.9596	17.1729	
MNI_MNI.img - 0	CinguSul_R	6884	12.0876	98.1384	58.4202	16.1884	
MNI_MNI.img - 0	OcciptSul_L	4176	21.8449	101.4314	60.7632	14.1998	
MNI_MNI.img - 0	OcciptSul_R	3552	15.7378	99.6427	59.9217	14.5587	
MNI_MNI.img - 0	TempSul_L	3557	19.1296	95.9036	64.1769	12.5706	
MNI_MNI.img - 0	TempSul_R	2458	21.1575	93.1658	62.3599	13.8306	
MNI_MNI.img - 0	Caudate_tail_L	459	90.8022	177.2900	136.5666	17.8023	
MNI_MNI.img - 0	Caudate_tail_R	497	83.7419	179.1230	137.7115	17.7717	

